num_guia;nome_beneficiario;cpf_beneficiario;ans;nome_operadora;descricao_servico;cod_tuss;dt_realizacao;dt_lancamento;vl_servico;vl_glosa;vl_liquido
COB041;COSTA, FERNANDA;567.890.123-44;701901;SULAMERICA;ESPIROMETRIA;40201161;2024-11-01;2024-11-04;260,00;25,00;235,00
COB111;CARVALHO, DIEGO;222.333.444-55;701901;SULAMERICA;ULTRASSOM ABDOMINAL;40201020;2024-11-01;2024-11-03;420,00;50,00;370,00
COB122;NASCIMENTO, TATIANE;333.444.555-66;339679;UNIMED;RAIO-X TORAX;40901010;2024-11-01;2024-11-02;200,00;25,00;175,00
COB126;RODRIGUES, BRUNO;444.555.666-77;005711;BRADESCO SAUDE;EXAME DE SANGUE COMPLETO;40308030;2024-11-01;2024-11-04;180,00;0,00;180,00
COB132;RODRIGUES, BRUNO;444.555.666-77;005711;BRADESCO SAUDE;ELETROCARDIOGRAMA;40301110;2024-11-01;2024-11-02;130,00;0,00;130,00
COB153;BARBOSA, ALINE;777.888.999-00;339679;UNIMED;ELETROCARDIOGRAMA;40301110;2024-11-01;2024-11-02;130,00;0,00;130,00
COB001;OLIVEIRA, MARIA;123.456.789-00;339679;UNIMED;ELETROCARDIOGRAMA;40301110;2024-11-02;2024-11-03;130,00;0,00;130,00
COB060;RAMOS, PATRICIA;678.901.234-55;368253;AMIL;ESPIROMETRIA;40201161;2024-11-02;2024-11-03;260,00;0,00;260,00
COB077;PEREIRA, LUCAS;890.123.456-77;701901;SULAMERICA;CONSULTA CLINICA GERAL;10101012;2024-11-02;2024-11-05;350,00;12,50;337,50
COB085;MARTINS, JULIANA;901.234.567-88;339679;UNIMED;ULTRASSOM ABDOMINAL;40201020;2024-11-02;2024-11-05;420,00;25,00;395,00
COB109;CARVALHO, DIEGO;222.333.444-55;701901;SULAMERICA;ECOCARDIOGRAMA;40304361;2024-11-02;2024-11-03;580,00;25,00;555,00
COB178;MELO, VANESSA;999.000.111-22;368253;AMIL;ELETROCARDIOGRAMA;40301110;2024-11-02;2024-11-03;130,00;50,00;80,00
COB191;SOUZA, THIAGO;000.111.222-33;701901;SULAMERICA;EXAME DE SANGUE COMPLETO;40308030;2024-11-02;2024-11-04;180,00;0,00;180,00
COB027;LIMA, ANA;345.678.901-22;368253;AMIL;ELETROCARDIOGRAMA;40301110;2024-11-03;2024-11-04;130,00;12,50;117,50
COB049;SILVA, ROBERTO;789.012.345-66;005711;BRADESCO SAUDE;TOMOGRAFIA COMPUTADORIZADA;40914079;2024-11-03;2024-11-06;1200,00;0,00;1200,00
COB059;RAMOS, PATRICIA;678.901.234-55;368253;AMIL;ECOCARDIOGRAMA;40304361;2024-11-03;2024-11-06;580,00;25,00;555,00
COB086;ALMEIDA, RAFAEL;012.345.678-99;005711;BRADESCO SAUDE;CONSULTA CLINICA GERAL;10101012;2024-11-03;2024-11-06;350,00;0,00;350,00
COB189;SOUZA, THIAGO;000.111.222-33;701901;SULAMERICA;ECOCARDIOGRAMA;40304361;2024-11-03;2024-11-06;580,00;0,00;580,00
COB035;MENDES, CARLOS;456.789.012-33;339679;UNIMED;ENDOSCOPIA DIGESTIVA;40601013;2024-11-04;2024-11-05;750,00;25,00;725,00
